=== Run information ===

Scheme:       weka.classifiers.bayes.NaiveBayesMultinomial 
Relation:     tweet_emotions-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-T-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M6-tokenizerweka.core.tokenizers.WordTokenizer -delimiters " \r\n\t.,;:\'\"()?!"
Instances:    1000
Attributes:   141
              [list of attributes omitted]
Test mode:    split 66.0% train, remainder test

=== Classifier model (full training set) ===

The independent probability of a class
--------------------------------------
empty	0.02
sadness	0.24
worry	0.29
fun	0.02
neutral	0.23
hate	0.05
enthusiasm	0.01
love	0.03
surprise	0.05
happiness	0.03
boredom	0.01
relief	0.01
anger	0

The probability of a word given the class
-----------------------------------------
	empty	sadness	worry	fun	neutral	hate	enthusiasm	love	surprise	happiness	boredom	relief	anger	
cause	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0.01	
day	0	0.01	0	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	
didnt	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	
do	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0.01	0.01	
dont	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
feel	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0.01	0.01	
for	0.01	0.01	0.01	0	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	
from	0	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0.01	
get	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	
go	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	
going	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
good	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	
got	0	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	
had	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0.01	0.01	0.01	
hate	0	0.01	0	0	0	0.02	0	0.01	0	0	0.01	0.01	0.01	
have	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	
home	0	0.01	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	
how	0.01	0	0.01	0	0.01	0	0	0	0	0	0.01	0.01	0.01	
http	0.01	0	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	
if	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	
im	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	
in	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
is	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	
it	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	
its	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.02	0.01	0.01	0.01	
just	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
know	0.01	0	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0.01	
last	0	0	0	0	0.01	0	0.01	0	0	0.01	0.01	0.01	0.01	
like	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
lol	0.01	0	0	0.01	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	
love	0	0	0	0	0	0	0.01	0.03	0	0.01	0.01	0.01	0.01	
me	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	
miss	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
my	0	0.03	0.03	0.01	0.02	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.01	
never	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0.01	0.01	
new	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
night	0	0	0.01	0	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0.01	
no	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
not	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	
now	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
of	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	
on	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	
one	0.01	0.01	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	
really	0	0.01	0.01	0	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	
sad	0	0.01	0.01	0.01	0	0	0	0	0	0	0.01	0.01	0.01	
she	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
sick	0	0.01	0	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	
sleep	0.01	0.01	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	
so	0	0.01	0.01	0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
sorry	0	0.01	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	
still	0	0.01	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	
take	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	
that	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
the	0.01	0.04	0.03	0.03	0.03	0.04	0.02	0.03	0.03	0.02	0.01	0.01	0.01	
there	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0.01	0.01	0.01	
think	0	0	0.01	0	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	
this	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	
time	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	
today	0	0	0.01	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	
tomorrow	0	0	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	
up	0.02	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	
want	0	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0	0.01	0.01	0.01	
was	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	
what	0.01	0	0	0	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	
whole	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
will	0.01	0	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
wish	0	0.01	0	0	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	
with	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	
work	0.01	0.01	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	
you	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	
&amp	0	0	0	0.01	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	
Its	0.01	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	
My	0	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0.01	0.01	
Oh	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	
The	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	
been	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	
being	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
down	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.01	
feeling	0	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0.01	
first	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0.01	0.01	
friend	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
has	0	0	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0.01	
head	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
her	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0.01	
here	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0.01	
hope	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.01	
hurts	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
make	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0.01	0.01	
more	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	
much	0	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	
need	0.01	0	0.01	0	0	0	0.01	0	0.01	0	0.01	0.01	0.01	
oh	0	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0.01	0.01	
or	0	0	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0.01	
out	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
see	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
some	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0.01	
something	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
things	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	
too	0.01	0	0.01	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0.01	
wanna	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0.01	
way	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	
we	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
week	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	
well	0	0	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	
when	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
would	0	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0.01	0.01	
your	0	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
//plurk	0.01	0	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	
6	0	0	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	
@	0	0	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	
better	0	0	0	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	
only	0	0	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	
they	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	


Time taken to build model: 0 seconds

=== Evaluation on test split ===

Time taken to test model on test split: 0 seconds

=== Summary ===

Correctly Classified Instances         108               31.7647 %
Incorrectly Classified Instances       232               68.2353 %
Kappa statistic                          0.0868
Mean absolute error                      0.1168
Root mean squared error                  0.2473
Relative absolute error                 95.0736 %
Root relative squared error             99.4621 %
Total Number of Instances              340     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    ?          0.000    ?          ?        0.639     0.056     empty
                 0.349    0.241    0.319      0.349    0.333      0.105    0.599     0.374     sadness
                 0.532    0.447    0.313      0.532    0.394      0.076    0.620     0.409     worry
                 0.000    0.000    ?          0.000    ?          ?        0.498     0.012     fun
                 0.346    0.218    0.321      0.346    0.333      0.125    0.586     0.266     neutral
                 0.048    0.003    0.500      0.048    0.087      0.140    0.586     0.144     hate
                 0.000    0.000    ?          0.000    ?          ?        0.582     0.020     enthusiasm
                 0.000    0.000    ?          0.000    ?          ?        0.574     0.069     love
                 0.083    0.006    0.333      0.083    0.133      0.152    0.540     0.065     surprise
                 0.000    0.000    ?          0.000    ?          ?        0.620     0.063     happiness
                 0.000    0.000    ?          0.000    ?          ?        0.613     0.020     boredom
                 0.000    0.000    ?          0.000    ?          ?        0.429     0.016     relief
                 0.000    0.000    ?          0.000    ?          ?        0.583     0.018     anger
Weighted Avg.    0.318    0.233    ?          0.318    ?          ?        0.596     0.284     

=== Confusion Matrix ===

  a  b  c  d  e  f  g  h  i  j  k  l  m   <-- classified as
  0  2  6  0  3  0  0  0  0  0  0  0  0 |  a = empty
  0 29 40  0 14  0  0  0  0  0  0  0  0 |  b = sadness
  0 20 50  0 23  1  0  0  0  0  0  0  0 |  c = worry
  0  0  2  0  1  0  0  0  0  0  0  0  0 |  d = fun
  0 13 36  0 27  0  0  0  2  0  0  0  0 |  e = neutral
  0  9  8  0  3  1  0  0  0  0  0  0  0 |  f = hate
  0  0  4  0  0  0  0  0  0  0  0  0  0 |  g = enthusiasm
  0  8  3  0  3  0  0  0  0  0  0  0  0 |  h = love
  0  3  4  0  4  0  0  0  1  0  0  0  0 |  i = surprise
  0  3  4  0  3  0  0  0  0  0  0  0  0 |  j = happiness
  0  1  1  0  1  0  0  0  0  0  0  0  0 |  k = boredom
  0  3  1  0  1  0  0  0  0  0  0  0  0 |  l = relief
  0  0  1  0  1  0  0  0  0  0  0  0  0 |  m = anger

